Name,Bat Speed,Swing Length,Time to Contact,Swing Acceleration
"Realmuto, J.T.",73.2,7.6,0.142,23.56920568
"Triolo, Jared",70.5,7.8,0.151,21.30198173
"Perkins, Blake",69.4,7.3,0.143,22.0562897
"Polanco, Jorge",69.7,7.2,0.141,22.55638176
"Adell, Jo",76.7,7.6,0.135,25.87697536
"Vientos, Mark",71.7,7.6,0.145,22.61315167
"Freeman, Tyler",71.7,7.2,0.137,23.86943788
"Brennan, Will",69,6.9,0.136,23.0667
"Fraley, Jake",71.8,7.1,0.135,24.27319341
"Schuemann, Max",68.3,6.7,0.134,23.27571234
"Estrada, Thairo",71,7.2,0.138,23.40564306
"Perdomo, Geraldo",66.9,6.8,0.139,22.00288857
"Kepler, Max",71.4,7.4,0.141,23.03037876
"DeJong, Paul",72,6.9,0.131,25.11610435
"Martinez, J.D.",73,8.4,0.157,21.20815119
"Kirk, Alejandro",70.1,7,0.136,23.46790776
"Tellez, Rowdy",74.4,8,0.147,23.1308856
"Rocchio, Brayan",69.5,7.3,0.143,22.11989829
"Renfroe, Hunter",75.2,7.6,0.138,24.87473516
"Isbel, Kyle",70.8,7.2,0.139,23.273966
"Yastrzemski, Mike",70.9,7.6,0.146,22.11134978
"Butler, Lawrence",74.2,7.1,0.130,25.92303454
"Bailey, Patrick",71.3,7.3,0.140,23.28051462
"Espinal, Santiago",66.5,7.3,0.150,20.25148185
"Bader, Harrison",71.1,7.1,0.136,23.80220708
"Rojas, Josh",66.6,7.3,0.149,20.31243436
"Jeffers, Ryan",72.9,7.5,0.140,23.68809684
"O'Hoppe, Logan",70.7,7.3,0.141,22.8903453
"Winker, Jesse",69.6,7.3,0.143,22.18359847
"Cowser, Colton",73.8,6.9,0.127,26.38760713
"Lopez, Otto",70.7,6.6,0.127,25.3181092
"Kim, Ha-Seong",69,6.8,0.134,23.40591618
"Lopez, Nicky",64.2,6.7,0.142,20.56513809
"Busch, Michael",70.3,7.3,0.142,22.63206421
"Albies, Ozzie",69.1,7.2,0.142,22.1697081
"Miranda, Jose",71,7.6,0.146,22.17376711
"Thomas, Lane",71.7,6.8,0.129,25.27352246
"Stephenson, Tyler",70.8,7.4,0.143,22.64493989
"Ramos, Heliot",75.2,6.9,0.125,27.39825901
"Meyers, Jake",68.6,7,0.139,22.4743204
"Dubón, Mauricio",69.4,7.6,0.149,21.18564668
"McNeil, Jeff",68.8,7.2,0.143,21.97762489
"Lowe, Nathaniel",73.3,7.3,0.136,24.60489215
"McCarthy, Jake",67.3,6.7,0.136,22.59912906
"Rodgers, Brendan",71.7,7.1,0.135,24.20562714
"Turner, Justin",65.1,6.3,0.132,22.488361
"Rooker Jr., Brent",73.7,7.1,0.131,25.57484461
"Taveras, Leody",71.3,7.5,0.143,22.65970089
"Raleigh, Cal",74.5,7.8,0.143,23.78780224
"Seager, Corey",72.3,6.6,0.124,26.47701586
"Judge, Aaron",77.2,8.2,0.145,24.29725015
"Swanson, Dansby",71.7,7.4,0.141,23.22431793
"Doyle, Brenton",70.9,7.4,0.142,22.70895382
"Vierling, Matt",71.1,7.4,0.142,22.83725274
"De La Cruz, Elly",75.2,7.3,0.132,25.89698455
"Suárez, Eugenio",72.2,7.8,0.147,22.34169759
"Marte, Ketel",73.7,7.6,0.141,23.89228904
"Turner, Trea",71.7,7.6,0.145,22.61315167
"Ruiz, Keibert",66.4,7.1,0.146,20.75937082
"Castro, Willi",70.6,7.1,0.137,23.46861335
"Harper, Bryce",74.1,7.3,0.134,25.14490114
"Nimmo, Brandon",73.3,7.3,0.136,24.60489215
"India, Jonathan",71.7,7.2,0.137,23.86943788
"Abrams, CJ",72.2,7.5,0.142,23.23536549
"Bell, Josh",70.4,7.9,0.153,20.97271251
"Stott, Bryson",68.2,7.1,0.142,21.90013425
"Schanuel, Nolan",65.2,6.6,0.138,21.5321617
"Goldschmidt, Paul",72.5,7.8,0.147,22.5277484
"Kwan, Steven",64.4,6.4,0.136,21.66347575
"Arcia, Orlando",70.9,7.9,0.152,21.27167827
"Springer III, George",71.9,7.4,0.140,23.35406247
"Bellinger, Cody",69,7.6,0.150,20.94213553
"Olson, Matt",73.8,7.3,0.135,24.94171085
"Steer, Spencer",71.6,7.4,0.141,23.15958119
"Alonso, Pete",75.3,7.3,0.132,25.9659053
"Adames, Willy",73.6,8.1,0.150,22.35666331
"Ozuna, Marcell",74,7.4,0.136,24.7382
"Vaughn, Andrew",70.8,7.6,0.146,22.04902042
"Bleday, JJ",71.7,7.3,0.139,23.54245927
"Freeman, Freddie",69.8,6.8,0.133,23.95180841
"Torres, Gleyber",70.2,7.2,0.140,22.8811635
"Merrill, Jackson",72.2,7.5,0.142,23.23536549
"Naylor, Josh",72.8,7.6,0.142,23.31232253
"Turang, Brice",66.2,6.1,0.126,24.01720807
"Perez, Salvador",73.2,7.9,0.147,22.67417256
"Tovar, Ezequiel",71.3,7.5,0.143,22.65970089
"Carroll, Corbin",73.7,7,0.130,25.94019953
"Santander, Anthony",73.1,7.2,0.134,24.8106781
"Machado, Manny",75.3,7.8,0.141,24.30142419
"Rutschman, Adley",69,6.9,0.136,23.0667
"Burleson, Alec",71.2,7.5,0.144,22.59618389
"Garcia, Maikel",70.8,7.2,0.139,23.273966
"Diaz, Yainer",72.6,7.4,0.139,23.81101443
"Lindor, Francisco",72.3,7.6,0.143,22.99319799
"Bregman, Alex",71.4,7,0.134,24.3464004
"Altuve, Jose",69.4,7.8,0.153,20.64242497
"Donovan, Brendan",69.6,6.9,0.135,23.46960417
"Hoerner, Nico",68.2,7.1,0.142,21.90013425
