Name,Bat Speed,Swing Length,Time to Contact,Swing Acceleration
"DeLuca, Jonny",70.8,7.6,0.146,22.04902042
"Happ, Ian",72.4,7,0.132,25.03314811
"Melendez Jr., MJ",72.8,7.7,0.144,23.00956509
"Díaz, Elias",73.9,7,0.129,26.08117861
"Trevino, Jose",68.9,7,0.139,22.67131861
"Gonzalez, Romy",74.1,7,0.129,26.22253976
"Santana, Carlos",71.8,7.6,0.144,22.67627279
"Lowe, Josh",73.3,7.2,0.134,24.94662676
"Nevin, Tyler",68.4,7,0.140,22.34346583
"Urshela, Gio",68.2,7.1,0.142,21.90013425
"Stanton, Giancarlo",81.3,8.6,0.144,25.69324845
"Rosario, Eddie",70.3,7.2,0.140,22.94639843
"Chapman, Matt",76.6,7.5,0.134,26.15367077
"Miller, Owen",69.6,7,0.137,23.13432411
"Higashioka, Kyle",71.8,7.3,0.139,23.60817441
"Remillard, Zach",67.9,6.6,0.133,23.3524252
"Moore, Dylan",73,7.1,0.133,25.0913338
"Kjerstad, Heston",70.9,7,0.135,24.00660833
"Bogaerts, Xander",70.7,7.2,0.139,23.20826676
"Jones, Jahmai",73,7.7,0.144,23.13616494
"Rodriguez, Johnathan",76.2,8.3,0.149,23.38666135
"Palacios, Richie",68.9,7,0.139,22.67131861
"Robert Jr., Luis",74.5,7.7,0.141,24.09673474
"Verdugo, Alex",68.4,6.3,0.126,24.82607314
"Baddoo, Akil",71.7,7.5,0.143,22.91466036
"Cave, Jake",69.5,7,0.137,23.06789393
"Lux, Gavin",71.3,7.3,0.140,23.28051462
"Loperfido, Joey",72.9,7.7,0.144,23.0728216
"DeLoach, Zach",70.1,6.8,0.132,24.15814034
"Heim, Jonah",70.2,7.4,0.144,22.26275368
"Hinds, Rece",75.2,7.7,0.140,24.55168665
"Chisholm Jr., Jazz",72,7.5,0.142,23.106816
"Contreras, William",74.7,7.3,0.133,25.55375462
"Brooks, Trenton",64.8,7.2,0.152,19.496376
"Bride, Jonah",67.9,7.2,0.145,21.40638976
"Hoskins, Rhys",71.2,8.1,0.155,20.92239249
"Tatis Jr., Fernando",74.9,7.4,0.135,25.34359923
"Trejo, Alan",66,7.1,0.147,20.51001127
